,论述,504.0,0.0811285,0.06207779,0.02790599,0.8288876
,交待,504.0,0.11576617,0.08035853,0.032292467,0.77158284
简而言之,,504.0,0.050668646,0.032029174,0.022486454,0.8948161
,省得,504.0,0.04219326,0.3586108,0.019801546,0.57939416
首先,再,504.0,0.11639318,0.052963104,0.028568229,0.8020756
简言之,,504.0,0.027847957,0.020792777,0.016697299,0.93466187
不仅,亦,504.0,0.07683045,0.086701825,0.05774613,0.77872187
不仅,同时,504.0,0.056385905,0.08549634,0.046429362,0.8116886
加以,,504.0,0.06956333,0.08775849,0.034075018,0.8086035
述说,,504.0,0.09814901,0.07682489,0.04136174,0.783664
,说教,504.0,0.06200998,0.06693538,0.040843938,0.83021075
或,,503.0,0.069197655,0.09110132,0.030284505,0.8094165
因,,503.0,0.041686937,0.73219675,0.01708276,0.20903346
,讲,503.0,0.08107585,0.0656951,0.034577142,0.8186519
尽管,但是,503.0,0.010674067,0.028997932,0.86447334,0.09585451
,另外,503.0,0.06780981,0.05788937,0.07730999,0.79699075
要是,,503.0,0.026415536,0.699313,0.050492406,0.223779
只要,,503.0,0.026792891,0.6601882,0.053267125,0.2597517
虽然,不过,503.0,0.0076712784,0.017971667,0.9269983,0.047358382
以后,,503.0,0.7514714,0.03630353,0.016971318,0.19525386
由于,所以,503.0,0.016408185,0.85245085,0.01767678,0.113464385
还是,还是,503.0,0.03985348,0.12133713,0.08200494,0.7568044
况且,,503.0,0.10267276,0.06619261,0.047167975,0.7839667
,后期,503.0,0.10364269,0.036683146,0.014129456,0.8455446
紧接着,,503.0,0.48714662,0.051195018,0.017012283,0.44464603
,诠释,503.0,0.058627117,0.05801314,0.033862453,0.84949714
,凡,503.0,0.039823603,0.12129935,0.06912311,0.7697539
因为,才,503.0,0.03836272,0.70843965,0.025446067,0.22775193
今后,,503.0,0.66829103,0.058821056,0.02244939,0.25043884
,不然,503.0,0.030628351,0.19039792,0.16283445,0.61613965
凡,,503.0,0.04094475,0.13700207,0.049513385,0.7725398
,说到底,503.0,0.031342987,0.04343829,0.028367875,0.8968512
谈起,,503.0,0.11287584,0.12748083,0.043628354,0.7160146
致,,503.0,0.03829122,0.6137823,0.017849522,0.3300771
只要,便,503.0,0.028887218,0.6476041,0.10177019,0.22173849
只要,会,503.0,0.027609395,0.62845504,0.09890911,0.245027
尽管,仍然,503.0,0.045954756,0.09652224,0.6209162,0.2366069
依然,,503.0,0.035654526,0.06286212,0.14482675,0.7566568
夫,,503.0,0.047957864,0.057994433,0.18424185,0.70980597
,就算,503.0,0.055320006,0.25291112,0.07148647,0.6202825
,可想而知,503.0,0.052634716,0.31829524,0.050323367,0.5787468
,不论,503.0,0.025720665,0.0742257,0.1044796,0.795574
即使,仍,503.0,0.05131795,0.49097896,0.09973406,0.35796908
如此一来,,503.0,0.1130494,0.11935709,0.064149104,0.7034443
谈到,,503.0,0.13208562,0.1246676,0.04060055,0.70264614
解读,,503.0,0.058084052,0.06438443,0.03316755,0.8443637
要么,要么,503.0,0.037663534,0.08908235,0.07417418,0.7990797
外传,,503.0,0.07717448,0.05678878,0.031460185,0.83457696
由于,就,503.0,0.022601789,0.8875935,0.010356917,0.07944783
既然,那么,503.0,0.022043329,0.61365753,0.090259425,0.27403983
若,也,503.0,0.024905687,0.71940845,0.067242645,0.18844338
顾名思义,,503.0,0.055984885,0.06060429,0.03598578,0.8474254
,假设,503.0,0.058287095,0.10052804,0.06461373,0.7765706
若,就,503.0,0.024287881,0.7220204,0.07276075,0.1809306
也就是说,,503.0,0.13464056,0.063427806,0.029743714,0.7721872
以便,,503.0,0.039635554,0.49834108,0.020451529,0.4415718
,而今,503.0,0.14625558,0.038927604,0.033510122,0.7813068
,谈起,503.0,0.16128641,0.082182236,0.03533387,0.7211972
一定,不然,503.0,0.020050488,0.21528782,0.20003548,0.56462634
